temperature,rain,month,year
23.3404,39.0113,3,2015
27.162,58.4772,4,2015
30.6121,50.3189,5,2015
29.1138,218.213,6,2015
27.5206,240.4,7,2015
27.0912,228.364,8,2015
27.2284,135.992,9,2015
25.9414,42.4305,10,2015
22.3532,30.9177,11,2015
18.6159,6.29845,12,2015
